keyword,category,industry,source_sheets,search_intent,funnel_stage,primary_or_secondary,target_url,target_page_type,content_type,cluster,seasonality,priority,cannibalization_risk,status,reason
ecommerce corporate gifts,All,E-commerce,SEO Keywords,industry-specific,bottom,primary,/industries/ecommerce-retail,industry-landing,landing page copy,industries,evergreen,1,none,targeted,Declared primary keyword of /industries/ecommerce-retail.
ecommerce employee gifts,All,E-commerce,SEO Keywords,industry-specific,middle,supporting,/industries/ecommerce-retail,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the E-commerce content on /industries/ecommerce-retail.
ecommerce employee welcome kit,All,E-commerce,SEO Keywords,employee gifting,bottom,secondary,/industries/ecommerce-retail,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/ecommerce-retail.
ecommerce joining kit,All,E-commerce,SEO Keywords,employee gifting,bottom,secondary,/industries/ecommerce-retail,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/ecommerce-retail.
ecommerce onboarding kit,All,E-commerce,SEO Keywords,employee gifting,bottom,supporting,/industries/ecommerce-retail,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the E-commerce content on /industries/ecommerce-retail.
ecommerce team gifts,All,E-commerce,SEO Keywords,industry-specific,middle,secondary,/industries/ecommerce-retail,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/ecommerce-retail.
education corporate gifts,All,Education,SEO Keywords,industry-specific,bottom,primary,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,1,none,targeted,Declared primary keyword of /industries/education-edtech.
education employee welcome kit,All,Education,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
education joining kit,All,Education,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
education onboarding kit,All,Education,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
school staff welcome kit,All,Education,SEO Keywords,employee gifting,bottom,secondary,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/education-edtech.
teacher employee gifts,All,Education,SEO Keywords,industry-specific,middle,secondary,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/education-edtech.
university employee gifts,All,Education,SEO Keywords,industry-specific,middle,secondary,/industries/education-edtech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/education-edtech.
conference corporate gifts,All,Events / Conferences,SEO Keywords,event gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Events / Conferences has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
conference delegate kits,All,Events / Conferences,SEO Keywords,event gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Events / Conferences has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
conference welcome kits,All,Events / Conferences,SEO Keywords,employee gifting,bottom,secondary,/gifting/events-conferences,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/events-conferences.
event attendee gift kits,All,Events / Conferences,SEO Keywords,event gifting,bottom,secondary,/gifting/events-conferences,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/events-conferences.
event corporate gifting,All,Events / Conferences,SEO Keywords,event gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Events / Conferences has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
event employee gifts,All,Events / Conferences,SEO Keywords,event gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Events / Conferences has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
seminar gift kits,All,Events / Conferences,SEO Keywords,event gifting,bottom,secondary,/gifting/events-conferences,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/events-conferences.
executive finance gifts,All,Finance / Investment,SEO Keywords,executive gifting,bottom,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Finance / Investment content on /industries/bfsi-banking-insurance.
finance client gifts,All,Finance / Investment,SEO Keywords,client gifting,bottom,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Finance / Investment content on /industries/bfsi-banking-insurance.
finance corporate gifts,All,Finance / Investment,SEO Keywords,industry-specific,middle,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Finance / Investment content on /industries/bfsi-banking-insurance.
finance employee welcome kit,All,Finance / Investment,SEO Keywords,employee gifting,bottom,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Finance / Investment content on /industries/bfsi-banking-insurance.
finance joining kit,All,Finance / Investment,SEO Keywords,employee gifting,bottom,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Finance / Investment content on /industries/bfsi-banking-insurance.
finance onboarding kit,All,Finance / Investment,SEO Keywords,employee gifting,bottom,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Finance / Investment content on /industries/bfsi-banking-insurance.
investment company gifts,All,Finance / Investment,SEO Keywords,industry-specific,middle,supporting,/industries/bfsi-banking-insurance,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Finance / Investment content on /industries/bfsi-banking-insurance.
banking technology gifts,All,Fintech,SEO Keywords,industry-specific,middle,secondary,/industries/fintech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/fintech.
fintech client gifts,All,Fintech,SEO Keywords,client gifting,bottom,secondary,/industries/fintech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/fintech.
fintech corporate gifts,All,Fintech,SEO Keywords,industry-specific,bottom,primary,/industries/fintech,industry-landing,landing page copy,industries,evergreen,1,none,targeted,Declared primary keyword of /industries/fintech.
fintech employee welcome kit,All,Fintech,SEO Keywords,employee gifting,bottom,secondary,/industries/fintech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/fintech.
fintech joining kit,All,Fintech,SEO Keywords,employee gifting,bottom,secondary,/industries/fintech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/fintech.
fintech onboarding kit,All,Fintech,SEO Keywords,employee gifting,bottom,secondary,/industries/fintech,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/fintech.
